PersonId,AttributeKey,AttributeValue
3708,IndCampus,Sojourn Midtown
3708,IndFamPosition,Primary Contact
3709,IndCampus,Sojourn Midtown
3709,IndFamPosition,Primary Contact
3710,IndCampus,Sojourn Midtown
3710,IndFamPosition,Primary Contact
3711,IndCampus,Sojourn Midtown
3711,IndFamPosition,Primary Contact
3712,MembershipDate,2007-11-11T00:00:00.0000000
3712,IndCampus,Sojourn J-town
3712,IndBaptized,Baptized
3712,IndFamPosition,Primary Contact
3713,MembershipDate,2007-11-11T00:00:00.0000000
3713,IndCampus,Sojourn J-town
3713,IndBaptized,Baptized
3713,IndFamPosition,Spouse
3714,IndCampus,Sojourn Midtown
3714,IndFamPosition,Child
3715,IndCampus,Sojourn Midtown
3715,IndFamPosition,Child
3716,IndCampus,Sojourn Midtown
3716,IndFamPosition,Primary Contact
3718,IndCampus,Sojourn Midtown
3718,IndFamPosition,Spouse
3719,IndCampus,Sojourn Midtown
3719,IndFamPosition,Child
3720,IndCampus,Sojourn Midtown
3720,IndFamPosition,Child
3717,IndAllergies,kentucky
3717,IndSchoolName,SBTS
3717,IndCampus,Sojourn Midtown
3717,IndMilitary,Air Force
3717,IndAgeBracket,25 - 34
3717,IndSpiritualMaturity,Stable
3717,IndBaptized,Baptized
3717,IndHowtheyheard,Friend
3717,IndFamPosition,Primary Contact
3717,IndSalvation,1996-09-15T00:00:00.0000000
3721,IndCampus,Sojourn Midtown
3721,IndFamPosition,Primary Contact
3722,IndCampus,Sojourn Midtown
3722,IndFamPosition,Spouse
3723,IndCampus,Sojourn Midtown
3723,IndFamPosition,Child
3724,IndAllergies,Asthma
3724,IndCampus,Sojourn Midtown
3724,IndFamPosition,Child
3725,IndCampus,Sojourn Midtown
3725,IndFamPosition,Child
8300,IndCampus,Sojourn Midtown
8300,IndFamPosition,Primary Contact
3727,IndCampus,Sojourn Midtown
3727,IndFamPosition,Spouse
3728,IndCampus,Sojourn Midtown
3728,IndFamPosition,Child
3729,IndCampus,Sojourn Midtown
3729,IndFamPosition,Child
3730,IndCampus,Sojourn Midtown
3730,IndFamPosition,Primary Contact
