Id,PersonId,AccountId,StartDate,EndDate,PledgeFrequency,TotalAmount
864,22712,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,3000
960,22775,118,11/15/2015 12:00:00 AM,11/11/2018 12:00:00 AM,Yearly,12000
1071,22792,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,OneTime,10000
1083,22798,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,3550
215,794,81,5/7/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Weekly,1300
913,22897,118,11/15/2015 12:00:00 AM,11/8/2016 12:00:00 AM,Weekly,520
1085,22939,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,780
216,810,81,4/30/2006 12:00:00 AM,4/30/2011 12:00:00 AM,Monthly,3000
217,810,92,5/10/2010 12:00:00 AM,5/10/2015 12:00:00 AM,Monthly,1500
807,23070,118,11/22/2015 12:00:00 AM,11/8/2020 12:00:00 AM,Weekly,13000
846,25040,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,3000
877,23126,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,1500
1024,23397,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,1500
852,23413,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,3000
783,23419,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,2600
853,23462,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,1200
657,23538,90,5/9/2010 12:00:00 AM,5/3/2015 12:00:00 AM,Weekly,6525
854,23607,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,3000
1084,23728,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,1800
56,903,81,8/1/2006 12:00:00 AM,8/1/2011 12:00:00 AM,Monthly,6000
1086,23808,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,3600
954,23995,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,200
1139,24062,127,5/1/2016 12:00:00 AM,2/10/2019 12:00:00 AM,Monthly,1485
1097,24069,127,5/8/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Weekly,1560
897,24124,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,4500
946,24154,118,1/1/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Monthly,1200
1105,24176,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,3600
356,24202,2,5/30/2010 12:00:00 AM,5/24/2015 12:00:00 AM,Weekly,6500
824,974,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,6000
997,24219,118,11/29/2015 12:00:00 AM,11/29/2020 12:00:00 AM,Monthly,1800
998,24230,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,6000
904,24266,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,3000
798,24321,118,1/1/2016 12:00:00 AM,12/20/2020 12:00:00 AM,Weekly,6500
827,24333,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,4500
1132,989,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,OneTime,20000
871,24473,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,1800
987,21262,118,11/20/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,2400
911,24619,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,1040
218,1020,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,900
219,1020,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,8520
1007,24629,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,500
978,24631,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Yearly,500000
979,24632,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Yearly,1000
986,24636,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,6000
990,24638,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,6000
993,24640,118,11/22/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,9000
1002,24642,118,1/1/2016 12:00:00 AM,12/20/2020 12:00:00 AM,Weekly,2600
1003,24643,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,2600
1004,24644,118,1/1/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Monthly,1800
1005,24645,118,1/1/2016 12:00:00 AM,10/31/2016 12:00:00 AM,Monthly,2000
1006,24711,118,11/1/2015 12:00:00 AM,10/31/2020 12:00:00 AM,Monthly,1500
945,24714,118,12/1/2015 12:00:00 AM,11/30/2016 12:00:00 AM,Monthly,600
1078,24745,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,6240
1108,24783,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,1440
1034,24794,118,12/6/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,1200
985,24889,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,6000
1166,24896,91,12/10/2016 12:00:00 AM,5/13/2017 12:00:00 AM,Weekly,440
1111,24988,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,900
1140,24992,127,6/1/2016 12:00:00 AM,5/26/2019 12:00:00 AM,Monthly,3600
1096,21297,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Monthly,2700
1080,25138,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,1560
1102,25157,127,7/1/2016 12:00:00 AM,6/23/2019 12:00:00 AM,Weekly,1560
928,1062,118,11/15/2015 12:00:00 AM,6/14/2020 12:00:00 AM,BiWeekly,6000
1076,25295,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,7800
1135,25409,127,5/1/2016 12:00:00 AM,7/31/2016 12:00:00 AM,OneTime,600
1081,25411,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Yearly,3000
1146,25503,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Yearly,3000
876,1116,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,1200
220,1131,81,5/6/2006 12:00:00 AM,5/6/2011 12:00:00 AM,Monthly,3000
1033,25705,118,1/18/2016 12:00:00 AM,1/17/2021 12:00:00 AM,Monthly,3000
1001,25707,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,1300
811,1162,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,13000.2
958,1195,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Yearly,12000
1115,9830,127,5/13/2016 12:00:00 AM,5/5/2019 12:00:00 AM,BiWeekly,780
33,1200,88,5/9/2010 12:00:00 AM,5/9/2010 12:00:00 AM,OneTime,100
1089,26164,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,OneTime,750
1141,26182,127,5/1/2016 12:00:00 AM,4/21/2019 12:00:00 AM,Weekly,3120
924,1220,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,8000
221,1263,81,4/1/2006 12:00:00 AM,4/1/2006 12:00:00 AM,OneTime,50
222,1288,81,12/1/2007 12:00:00 AM,12/1/2012 12:00:00 AM,Monthly,1200
895,1295,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,2400
223,1300,81,5/1/2006 12:00:00 AM,5/1/2011 12:00:00 AM,Monthly,300
